title,link,schedule,location_name,address,tag,description
Pittsburgh Opera's March Song Shop Concert,https://www.pghcitypaper.com/pittsburgh/pittsburgh-operas-march-song-shop-concert/Event?oid=26776470,"Sat., March 8, 12-1 p.m.",Bitz Opera Factory,"2425 LIBERTY AVE., Pittsburgh
Strip District",Opera,"Pittsburgh Opera’s free, informal Song Shop concerts feature the Resident Artists of Pittsburgh Opera. Beginning at 12:00 PM on selected Saturdays of each month, October 2024–April 2025, these one-hour performances are free, fun, and open to everyone. Guests are encouraged to bring a friend and bring a lunch. FRIENDS of Pittsburgh Opera provide a reception after each Song Shop concert. 412.281.0912"
Collaborative Music Story Hour,https://www.pghcitypaper.com/pittsburgh/collaborative-music-story-hour/Event?oid=27562846,"Sat., March 8, 12-1 p.m.",B is for Books - A Free Children's Bookstore,"222 East 8th Avenue, Homestead
Homestead",Kidstuff,"Are you raising an aspiring music superstar? Well, our dear friends over at You Be You Music will be coming to B is for Books on Saturday, March 8th, to do a music story hour! Children of all ages are invited to explore the bond between music and books in a child led jam session. Instruments and snacks provided. Free as always! 412-500-2971"
,,,,,,
Pittsburgh Society of Artist Spring 2025 New Member Screening,https://www.pghcitypaper.com/pittsburgh/pittsburgh-society-of-artist-spring-2025-new-member-screening/Event?oid=27497169,"Sat., March 8, 1-4:30 p.m.",Wilkins School Community Center,"7604 Charleston Avenue, Swissvale
Swissvale",Submissions,"Become a member of PSA! Any artist 18 years of age or older who lives within a 150 mile radius of Pittsburgh is eligible to submit three original artworks for submission. Art work will be evaluated by Members of the Board and Artists are voted in by a 3/4 majority vote by Board Members present. There is no fee to register for the Screening. If accepted, annual dues are $40. 412-952-1161"
Penny Arcade,https://www.pghcitypaper.com/pittsburgh/penny-arcade/Event?oid=27264942,"Sat., March 8, 2-3 p.m., Sat., April 12, 2-3 p.m., Sat., May 10, 2-3 p.m., Sat., June 14, 2-3 p.m., Sat., July 12, 2-3 p.m., Sat., Aug. 9, 2-3 p.m., Sat., Sept. 13, 2-3 p.m., Sat., Oct. 11, 2-3 p.m., Sat., Nov. 8, 2-3 p.m. and Sat., Dec. 13, 2-3 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Arcade Comedy Theater presents Penny Arcade, an interactive comedy experience ideal for kids 4 to 8 years old! This 45-minute show encourages children and their parents to unleash their imaginations and sense of humor. Penny Arcade fosters collaboration, listening skills, and silliness for everyone at any age through a hands-on approach to theater. Whether your child is a natural performer or a thoughtful observer, the show adapts to each individual, giving everyone a unique and hilarious experience they'll talk about for a long time! Penny Arcade is a fun and innovative show you won't find anywhere else in the city. (412) 339-0608"
International Women's Day at the BMNECC,https://www.pghcitypaper.com/pittsburgh/international-womens-day-at-the-bmnecc/Event?oid=27583417,"Sat., March 8, 6-11 p.m.",Bulgarian Macedonian National Educational & Cultural Center,"449 W 8th Ave, Homestead
Homestead",Dance,"""IN HARMONY"" with Carcia Milica & Otets Paissii Performing Folk Ensemble In a unique performance by 50+ talented performers, these two ensembles will blend their artistry and take you on a journey through the rich cultural tapestry of the Balkans. 4128747514"
Sketch Comedy Lab,https://www.pghcitypaper.com/pittsburgh/sketch-comedy-lab/Event?oid=27269433,"Sat., March 8, 6-7:30 p.m. and Sat., April 12, 6-7:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"A staged reading for brand new sketch comedy. The Sketch Comedy Laboratory is an incubator space presented by Arcade Comedy Theater. Every other month, Sketch Lab features sketches from writers who have attended our writers room and are performed by a roster of comedic actors. See cutting edge comedy and new scripted works written by some of the city's funniest up-and-coming writers. (412) 339-0608"
Enjoy Wrestling – Dearly Beloved,https://www.pghcitypaper.com/pittsburgh/enjoy-wrestling-dearly-beloved/Event?oid=27533794,"Sat., March 8, 7 p.m.",Mr. Smalls Theatre,"400 Lincoln Avenue, Millvale
Millvale",Sports,Mr. Smalls Presents Enjoy Wrestling – Dearly Beloved Advance: $30.00 Day Of Show: $35.00 This Event Is All Ages 412-821-4447
The Hootenanny,https://www.pghcitypaper.com/pittsburgh/the-hootenanny/Event?oid=27269825,"Sat., March 8, 7-8:30 p.m., Sat., April 12, 7-8:30 p.m., Sat., May 10, 7-8:30 p.m. and Sat., June 14, 7-8:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes. Our storyteller tells real-life stories inspired by an audience suggestion, and then Pittsburgh's best and brightest improvisers present a fast & funny set based on elements from the story. Produced by Nick Jaramillo. (412) 339-0608"
,,,,,,
"Attack Theatre’s Rock, Paper, Sizzle",https://www.pghcitypaper.com/pittsburgh/attack-theatres-rock-paper-sizzle/Event?oid=27426691,"Sat., March 8, 7:30-10:30 p.m.",Attack Theatre,"212 45th Street, Pittsburgh
Lawrenceville",Food & Drink Event,"Harness your inner deity, and delight in Attack Theatre’s third annual Rock, Paper, Sizzle on Saturday, March 8! Come as you or build your own personal myth for this Mythical Masquerade. Enjoy food, cocktails, and indulge in a world of creativity and mystique. Do the snake with Medusa, play games, bid in a silent auction to reach your personal Mt. Olympus, and enjoy special performances – in an experience that only Attack Theatre can provide. A night to celebrate the tremendous impact of Attack Theatre’s art education programs, the brilliant work of Attack Theatre artists, and the future. 4122813305"
Kokoko!,https://www.pghcitypaper.com/pittsburgh/kokoko/Event?oid=27533776,"Sat., March 8, 8 p.m.",The Funhouse @ Mr. Smalls,"400 Lincoln Ave, Millvale
Millvale",Electronic,"Mr. Smalls Presents Kokoko! Special Guest: Jellyfish (DJ set) Doors: 7:00 pm / Show: 8:00 pm Pioneers of Kinshasa’s sonic revolution, KOKOKO! have captivated global audiences with their striking sonics and energetic performances since 2017. Their accolades include best live band award by AIF, NPR Tiny Desk and Boiler Room slots, appearances at festivals including All Points East, SXSW, Green Man and Pitchfork Festival, and a placement on the Grand Theft Auto and FIFA soundtracks. 6034337465"
Steeltown Band at Crafthouse Stage & Grill,https://www.pghcitypaper.com/pittsburgh/steeltown-band-at-crafthouse-stage-and-grill/Event?oid=27603424,"Sat., March 8, 8 p.m.",Crafthouse Stage & Grill,"5024 Curry Road, Pittsburgh
Overbrook",Cover Band,"Steeltown Band is bringing the energy and the tunes back to the Crafthouse! They've got the best music to sing and dance to - you know it's always going to be a great time when they're on the stage! There is an $8 cover charge starting at 6pm. This event is 21+. Reservations are strongly suggested, give us a call at (412)653-2695 ext 225. 412-653-2695"
Jason Ricci and the Bad Kind,https://www.pghcitypaper.com/pittsburgh/jason-ricci-and-the-bad-kind/Event?oid=27539402,"Sat., March 8, 8-11 p.m.",Moondog's,"378 Freeport Road, Blawnox
Blawnox",Blues,Jason Ricci and the Bad Kind 412-828-2040
METRO Band,https://www.pghcitypaper.com/pittsburgh/metro-band/Event?oid=27538491,"Sat., March 8, 8 p.m.",Baja Bar and Grill,"1366 Old Freeport Road, Fox Chapel
Fox Chapel",Cover Band,Great night of music and dancing with the METRO Band at the Baja. See you on the dance floor! 412-963-0640
Co-Workers,https://www.pghcitypaper.com/pittsburgh/co-workers/Event?oid=27264676,"Sat., March 8, 8-9:30 p.m., Sat., April 12, 8-9:30 p.m., Sat., May 10, 8-9:30 p.m. and Sat., June 14, 8-9:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,Co-Workers takes you behind the scenes of an everyday office where anything but the usual happens! (412) 339-0608
,,,,,,
The Right Turn Experience at The Good Time Bar and Grille - Millvalle PA,https://www.pghcitypaper.com/pittsburgh/the-right-turn-experience-at-the-good-time-bar-and-grille-millvalle-pa/Event?oid=27526639,"Sat., March 8, 9 p.m.",Good Time Bar & Grille,"1304 Walters Avenue, Pittsburgh
Millvale",Cover Band,The Right TurnClyde Experience brings their high energy horn driven danceable rock n roll show for the very first time to the Good Time Bar and Grille in Millvalle PA (412) 408-3238
Divorced Dad Rock Night,https://www.pghcitypaper.com/pittsburgh/divorced-dad-rock-night/Event?oid=27410772,"Sat., March 8, 9 p.m.-1 a.m.",Squirrel Hill Sports Bar,"5832 Forward Ave., Pittsburgh
Squirrel Hill",Rock,"On March 8th, Squirrel Hill Sports Bar will transform into a sanctuary for all things cathartic and angsty at Divorced Dad Rock Night. Doors open at 8:30 PM, and the night kicks off at 9:00 PM with a playlist straight out of the golden age of emotional rock anthems. Expect to feel “Fully Alive” as the music takes you back to the days when Nickelback’s choruses hit like a midlife crisis in a chorus of “Photograph.” Whether you’re “Here Without You” or wishing someone would “Bring Me to Life,” the night promises to stir your inner rock ballad soul. 412-422-5027"
Comedy Confidential with Brittany Alexis,https://www.pghcitypaper.com/pittsburgh/comedy-confidential-with-brittany-alexis/Event?oid=27415626,"Sat., March 8, 9-10:30 p.m., Sat., April 12, 9-10:30 p.m., Sat., May 10, 9-10:30 p.m., Sat., June 14, 9-10:30 p.m. and Sat., July 12, 9-10:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Arcade Comedy Theater presents Comedy Confidential, a showcase of Pittsburgh's brightest comedic talents! Host Brittany Alexis brings some of her funniest few friends to the stage for an entertaining night of stand-up. This show promises a lineup of hilarious performances that will keep you laughing long after the show ends. Whether you're a lifelong comedy fan or just looking for a fun night out, Comedy Confidential is the perfect escape into the world of humor. Come for an unforgettable evening filled with surprises, camaraderie, and, of course, a whole lot of laughter! (412) 339-0608"
Second Saturday Pittsburgh,https://www.pghcitypaper.com/pittsburgh/second-saturday-pittsburgh/Event?oid=1940621,"Second Saturday of every month, 9 a.m.-12 p.m.",Northern Tier Regional Library,"4051 Dickey Rd., Gibsonia
Gibsonia",Other Stuff,A non-profit providing unbiased divorce education. 724-449-2665
Pittsburgh Writers Project - Roundtable Discussions,https://www.pghcitypaper.com/pittsburgh/pittsburgh-writers-project-roundtable-discussions/Event?oid=1435444,"Second Saturday of every month, 10 a.m.-12 p.m.",Green Tree Public Library,"10 W. Manilla Ave., Greentree
Green Tree",Literary,412-921-9292
Emotional Support America,https://www.pghcitypaper.com/pittsburgh/emotional-support-america/Event?oid=1923342,"Fourth and Second Saturday of every month, 1:30 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood
Edgewood",Other Stuff,412-731-0909
Saturday Matinee,https://www.pghcitypaper.com/pittsburgh/saturday-matinee/Event?oid=1440484,"Second Saturday of every month, 2 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh
Oakland",Other Stuff,A new film each month. 412-622-3114
Second Saturday Art Workshops,https://www.pghcitypaper.com/pittsburgh/second-saturday-art-workshops/Event?oid=1688797,Second Saturday of every month,Trust Arts Education Center,"805-807 Liberty Ave, Pittsburgh
Downtown",Other Stuff,"Classes in jewelry making, painting, cartooning, puppet making, quilting, more. 412-471-6079"
Second Saturday at the Spinning Plate,https://www.pghcitypaper.com/pittsburgh/second-saturday-at-the-spinning-plate/Event?oid=1477974,Second Saturday of every month,Spinning Plate Gallery,"5720 Friendship Avenue, Pittsburgh
Friendship",Other Stuff,"Art exhibits w/ various musical, literary & artistic performances."
Evolution,https://www.pghcitypaper.com/pittsburgh/evolution/Event?oid=21869199,"Second Saturday of every month, 9:30 p.m.-3 a.m.",Cattivo,"146 44th St., Pittsburgh
Lawrenceville",DJs,"A dance night for those with unique taste, featuring the best in New Wave, Coldwave, Darkwave, Goth, Industrial, Synthpop and more! ft. DJ Josey Cash Bar Only - ATM on site 21 and over 412-687-2157"
2 Hype! Dance Party,https://www.pghcitypaper.com/pittsburgh/2-hype-dance-party/Event?oid=5578096,"Second Saturday of every month, 10 p.m.-2 a.m.",Remedy,"5121 Butler St., Pittsburgh
Lawrenceville",DJs,412-475-8409
Mindful Connections™ for Wellness – Online – Feb-April 2025,https://www.pghcitypaper.com/pittsburgh/mindful-connectionstm-for-wellness-online-feb-april-2025/Event?oid=27420409,"Saturdays, 11-1:30 a.m. Continues through April 12",,,Other Stuff,"Discover a more mindful and connected life with Awaken Pittsburgh's Mindful Connections for Wellness program. This unique course offers an invaluable opportunity to integrate mindfulness and meditation into your daily routine. Through expert guidance, you'll acquire practical skills to remain focused and grounded, enhancing your personal well-being and enriching your interactions with others. Join us for an enlightening journey where you will: - Master strategies to manage everyday stress - Build resilience to face life's challenges - Cultivate deeper compassion and empathy - Establish and maintain a consistent mindfulness practice"
CDCP x WCDC Present: Charlotte Ka,https://www.pghcitypaper.com/pittsburgh/cdcp-x-wcdc-present-charlotte-ka/Event?oid=27538497,"Saturdays, 12-5 p.m. Continues through May 31",Lohr Gallery,"725 Wood Street, Wilkinsburg
Wilkinsburg",Exhibits,"Join us for the opening reception of CDCP x WCDC Present: Charlotte Ka on March 1st, 2025 from 12-3pm and check out Charlotte's beautiful work. Charlotte will join us in the gallery to speak about her art on the walls. Light bites and snacks will be available. On display: March 1-May 31, 2025 Gallery hours: every Saturday, 12-5pm CDCP x WCDC Present: Charlotte Ka WCDC's Lohr Gallery 725 Wood Street 412-727-7855"
Museum Highlight Tours,https://www.pghcitypaper.com/pittsburgh/museum-highlight-tours/Event?oid=27213365,"Saturdays, Sundays, 12:30-1:30 p.m. Continues through March 16",Carnegie Museum of Natural History,"4400 Forbes Avenue, Pittsburgh
Oakland",Exhibits,"When: Saturdays and Sundays at 12:30 p.m. Plus, special dates for the holidays! November 29, December 22–23, and December 26–30 at 12:30 p.m. Where: Carnegie Museum of Natural History Tickets: Free with Museum Admission Join our expert Natural History Interpreters for guided tours. See highlights of favorite exhibitions, learn fun facts, and have your burning questions answered. Tours meet at the entrance to Dinosaurs in Their Time. Buy your tickets in advance! 4126223131"
Donation-Based Yoga,https://www.pghcitypaper.com/pittsburgh/donation-based-yoga/Event?oid=17588930,"Saturdays, Sundays, 7-7:45 a.m.",Frick Park Red Clay Tennis Courts,"800 S. Braddock Ave., Pittsburgh
Point Breeze",Exercise,"Join the Frick Park Clay Tennis Court Club and The Om Lounge for donation based (socially distanced) yoga every Saturday and Sunday morning at 7 AM, weather-permitting. Donations are accepted via credit/debit card, but are not required for participation. No pre-registration is required at this time. Participants must wear a mask while not on their mat. Please bring your own mat, towel, water, and any other props. Class is all levels and open to the public. Donations support the Frick Park Clay Court Tennis Club."
Beginner Tai Chi Classes,https://www.pghcitypaper.com/pittsburgh/beginner-tai-chi-classes/Event?oid=1758894,"Saturdays, 9 a.m.",Friends Meeting House,"4836 Ellsworth Ave., Pittsburgh
Oakland",Other Stuff,412-683-2669
Saturday morning kids art class,https://www.pghcitypaper.com/pittsburgh/saturday-morning-kids-art-class/Event?oid=26002129,"Saturdays, 10-11 a.m.",Uncle Dave's Art Studio,"4135 Leechburg Rd, Pittsburgh
New Kensington",Kidstuff,"🎨 Calling all budding young artists! Let your child's creativity soar with our exciting kids art class 🌟 They'll get to paint their very own masterpiece on an 8x10 canvas using high-quality acrylic paint 🎉 All supplies are included, so all they need to bring is their imagination! Don't miss out on this opportunity to inspire and nurture their artistic talents. Sign up today! 🎉 18783023095"
Sahaja Meditation,https://www.pghcitypaper.com/pittsburgh/sahaja-meditation/Event?oid=8874419,"Saturdays, 11 a.m.-12 p.m.","Carnegie Library, Allegheny","1230 Federal St., Pittsburgh
North Side",Other Stuff,"Sahaja Meditation is a simple method that lets you tap into the natural energy lying deep within you. Learn to use the power of your own inner energy to neutralize stress, get back into balance, improve your physical, mental, and emotional health, and realize true inner peace and joy. You can do it anywhere and anytime, it costs nothing and is available to all people regardless of our nationality, race, faith, or age. Find us on our Pittsburgh Sahaja Meditation Meetup group. 412-961-3529"
,,,,,,
Drop-In Beginner Knitting & Knitting Help,https://www.pghcitypaper.com/pittsburgh/drop-in-beginner-knitting-and-knitting-help/Event?oid=4025936,"Saturdays, 12-4 p.m.",Steel City Fiber Collective,"5817 Ellsworth Avenue, PITTSBURGH
Shadyside",Other Stuff,"Always wanted to learn to knit? We'll get you started. We even Include needles and yarn. Already know how to knit, but are stuck in your project? We'll happily help get you through it. 412-362-7222"
Wigle Whiskey Barrelhouse Tours,https://www.pghcitypaper.com/pittsburgh/wigle-whiskey-barrelhouse-tours/Event?oid=1756427,"Saturdays, 12:30 & 2 p.m.",Wigle Whiskey Barrel House,"1055 Spring Garden Ave., Pittsburgh
North Side",Other Stuff,412-224-2827
South Hills Scrabble Club,https://www.pghcitypaper.com/pittsburgh/south-hills-scrabble-club/Event?oid=1426615,"Saturdays, 1-3 p.m.",Mount Lebanon Public Library,"16 Castle Shannon Boulevard, Mt. Lebanon
Mt. Lebanon",Other Stuff,"Free Scrabble games, all levels. 412-531-1912"
Saturday Salsa for Beginners,https://www.pghcitypaper.com/pittsburgh/saturday-salsa-for-beginners/Event?oid=26119868,"Saturdays, 1:30-2:30 p.m.",Crossbody Dance and Movement,"422 Wood Street, PITTSBURGH
Downtown",Dance,"If you have NEVER danced salsa before, or have very little experience dancing salsa, this is where you start. Even if you think you have two left feet… we will get you dancing! 4122590336"
Wigle Whiskey Public Tours,https://www.pghcitypaper.com/pittsburgh/wigle-whiskey-public-tours/Event?oid=1733099,Saturdays,Wigle Whiskey,"2401 Smallman St., Pittsburgh
Strip District",Other Stuff,412-224-2827
Kerr Memorial Museum,https://www.pghcitypaper.com/pittsburgh/kerr-memorial-museum/Event?oid=1426483,Saturdays,Kerr Memorial Museum,"402 Delaware Avenue, Oakmont
Oakmont",Exhibits,"Tours of a restored 19th-century, middle-class home. 412-826-9295"
,,,,,,
Spanish Conversation Group,https://www.pghcitypaper.com/pittsburgh/spanish-conversation-group/Event?oid=1855928,"Saturdays, 3:30-5 p.m.",Target,"6231 Penn Ave, Pittsburgh
East Liberty",Other Stuff,"Friendly, informal. Meet at Starbucks. 412-362-6108"
Higher Ground,https://www.pghcitypaper.com/pittsburgh/higher-ground/Event?oid=16704509,"Saturdays, 5-6 p.m.",Christ Lutheran Church,"910 North Avenue, Millvale
Millvale",Other Music,"Looking for a different worship experience? Higher Ground offers interactive worship with open prayer, singing, music by Soul Spirit, and preaching by Pastor Scott on the spiritual subjects that affect us today. Come and be a part of the joyous, upbeat and energizing experience that abides in Higher Ground each week at CLC Millvale. Childcare is provided. 412-821-4300"
Tony Campbell Jazzsurgery,https://www.pghcitypaper.com/pittsburgh/tony-campbell-jazzsurgery/Event?oid=5258358,"Saturdays, 5-7:30 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh
East Liberty",Jazz,412 -665 - 0555
The Helltown Tap Room Saturday Afternoon Jazz Jam w/ Tony Campbell,https://www.pghcitypaper.com/pittsburgh/the-helltown-tap-room-saturday-afternoon-jazz-jam-w-tony-campbell/Event?oid=18673739,"Saturdays, 5-8 p.m.",Helltown Tap Room,"1700 Penn Ave [strip district], Pittsburgh
Strip District",Jazz,Socially distancing jazz jam session. Musicians and Vocalists are welcome !!!!!!!!!!!!!!! Singers must bring their own microphone !!! Drummers must bring their own sticks ! Horn players must be 6 feet apart !!!!!! Wipes are on hand. Tony Campbell -Sax Jevon Rushton - Drums Eli Naragon - Bass Antonio Croes - Keys 412-315-7059
The Helltown Tap Room Saturday Afternoon Jazz Jam w/ Tony Campbell/Jazzsurgery,https://www.pghcitypaper.com/pittsburgh/the-helltown-tap-room-saturday-afternoon-jazz-jam-w-tony-campbell-jazzsurgery/Event?oid=18718099,"Saturdays, 5-8 p.m.",Helltown Tap Room,"1700 Penn Ave [strip district], Pittsburgh
Strip District",Jazz,Socially Distancing Jazz Jam. Musicians and Vocalists are Welcome !!!!!!!!!!!!!!!!!!!!!!!!!! Singers must bring their own microphones !!!!!!! No Exception !!! Drummers must bring their own sticks !!!!! Horn players must be 6 feet apart !!!!!!!!! Wipes are on hand Tony Campbell - Sax Eli Naragon - Bass David Hanson - Drums Joe Sheehan - Keys 412-315-7059
Drop-In Improv Workshops - Advanced @ BGC Community Activity Center,https://www.pghcitypaper.com/pittsburgh/drop-in-improv-workshops-advanced-bgc-community-activity-center/Event?oid=26017425,"Every other Saturday, 6-7 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh
Garfield",Comedy,"Made for improvisers with intermediate to advanced experience, this workshop will give you the reps and coaching opportunities you need in order to hone your improv skills. Every other Saturday evening, this one-hour drop in workshop will give you an opportunity to get stage time with some guidance and coaching. Every other week, join our experienced improv teachers from 412improv, to get valuable feedback and gain new skills. Also, It’s a great way to sample what we will teach in our intermediate and advanced classes. 412-441-6950"
,,,,,,
"""Disco Happy Hour"" Saturdays",https://www.pghcitypaper.com/pittsburgh/disco-happy-hour-saturdays/Event?oid=23815332,"Saturdays, 6-9 p.m.",The Goldmark,"4517 Butler St, Pittsburgh
Lawrenceville",DJs,"Every Saturday, The Goldmark hosts the ""Disco Happy Hour"" from 6pm-9pm featuring Pittsburgh's best DJs playing classic & nu disco cuts. Also featuring... *Weekly Rotating Craft Cocktail Menu *Outdoor Patio (weather permitting) *Local Breweries On Tap *Frozen Cocktails *No Cover 412-688-8820"
The Dinner Detective Interactive Murder Mystery Dinner Show,https://www.pghcitypaper.com/pittsburgh/the-dinner-detective-interactive-murder-mystery-dinner-show/Event?oid=6379466,"Saturdays, 6-9 p.m.",Omni William Penn,"530 William Penn Pl., Pittsburgh
Downtown",Theater,"America's largest interactive murder mystery comedy dinner show. Just beware. The killer is hiding somewhere in the room, and you may find yourself as a Prime Suspect. The Dinner Detective Murder Mystery Dinner Show performs on Saturday nights. We also offer private shows that are customized to your group with roles for your group members to play. 866-496-0535"
Scottish Country Dancing,https://www.pghcitypaper.com/pittsburgh/scottish-country-dancing/Event?oid=1444211,"Mondays, 7 p.m. and Saturdays, 7 p.m.",Grace Episcopal Church,"319 W Sycamore St., Pittsburgh
Mt. Washington",Other Stuff,"Lessons 7-8 p.m., social dancing follows. No partner needed. 412-683-5670"
Saturday Night Improv @ BGC!,https://www.pghcitypaper.com/pittsburgh/saturday-night-improv-bgc/Event?oid=26017418,"Saturdays, 7:30-9:30 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh
Garfield",Comedy,"It's time to Love, Laugh and Enjoy. Join us at the BGC Activity Center Saturday evenings for an evening of improv with performances by Narsh and Penny Pressed! Shows start promptly at 7:30 PM so don't be late! 412-441-6950"
DJ Storming Norman,https://www.pghcitypaper.com/pittsburgh/dj-storming-norman/Event?oid=6948005,"Saturdays, 8 p.m.-1 a.m.",,,DJs,412-716-4009
Swing City,https://www.pghcitypaper.com/pittsburgh/swing-city/Event?oid=1534974,"Saturdays, 8 p.m.",Wightman School,"5604 Solway, Pittsburgh
Squirrel Hill",Other Stuff,Learn & practice swing dancing skills w/ the Jim Adler Band. 412-759-1569
The Unplanned Comedy Warehouse Saturday,https://www.pghcitypaper.com/pittsburgh/the-unplanned-comedy-warehouse-saturday/Event?oid=10585536,"Saturdays, 8 p.m.",Unplanned Comedy Warehouse,"5601Butler Street 2nd Floor, Pittsburgh
Lawrenceville",Comedy,"Improv, Stand-up, Sketch Comedy, and Hop Farm Brewery all in sunny Upper-Lawrenceville. 412-212-7061"
"Acoustic Songwriters at The Starlite, hosted by Robert Wagner of The Little Wretches",https://www.pghcitypaper.com/pittsburgh/acoustic-songwriters-at-the-starlite-hosted-by-robert-wagner-of-the-little-wretches/Event?oid=23210750,"Saturdays, 8-10 p.m.",Starlite Lounge,"364 Freeport Road, Blawnox
Blawnox",Acoustic,"You write songs? Where you playing at Saturday night? Why not? Remember Graffiti? It used to market itself as ""the Greenwich Village Scene of Pittsburgh."" Do you even know about the Greenwich Village scene? If you don't you should. Yes. Even the legendary voices of the Greenwich Village scene passed a hat and split the proceeds. And they came out to support each other. Not everyone got famous. Not everyone had a hit record. But they made something happen. Genius emerges from community. So if you write songs, get off your butt and get out and play. 412-828-2040"
Burning Bridges Comedy Club,https://www.pghcitypaper.com/pittsburgh/burning-bridges-comedy-club/Event?oid=11191566,"Saturdays, Sundays, 9-10:30 p.m.",,"4207 butler st, pgh
Lawrenceville",Comedy,"The Burning Bridges Comedy Club is Pittsburgh first and only independent stand up comedy club. Located in Lawrencville, inside Hambone's Pub. Shows every weekend. Saturday 8&10:30PM, Sunday 9PM. 412-610-2052"
Saturday Nights w/ DJ Nugget & Friends,https://www.pghcitypaper.com/pittsburgh/saturday-nights-w-dj-nugget-and-friends/Event?oid=16729755,"Saturdays, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh
Lawrenceville",DJs,"Pittsburgh's best open format DJ's can be found at The Goldmark every Saturday night. Expect an energetic mix of Pop, Hip-Hop, Latin, Funk, Soul, 80's, 90's, House, EDM & More. 412-688-8820"
Pittsburgh Pride Bowling,https://www.pghcitypaper.com/pittsburgh/pittsburgh-pride-bowling/Event?oid=1693328,"Second Sunday of every month, 6:30 p.m.",Forward Lanes,"5844 Forward Ave., Pittsburgh
Squirrel Hill",Other Stuff,Bowling league for LGBT community & allies. 724-712-1745
Azure Family Concerts Winter Series: Enchanted Melodies,https://www.pghcitypaper.com/pittsburgh/azure-family-concerts-winter-series-enchanted-melodies/Event?oid=27570022,"Sun., March 9, 2-3 p.m.",The Lindsay Theater and Cultural Center,"418 Walnut Street, Sewickley
Sewickley",Kidstuff,"""Enchanted Melodies,"" an Azure Family Concerts event presented by Autism Pittsburgh, will be taking place at The Lindsay Theater and Cultural Center in Sewickley on Sunday, March 9, from 2-3 p.m. Join musicians Emily Gallagher and Caleb Glickman for an enchanted afternoon of musical storytelling. See what happens when a princess finds her own storybook and discovers the importance of finding her own path. The audience is encouraged to sing, dance and play along to bring the story to life. Children, teens and adults of all abilities are encouraged to attend and participate. Tickets are free, but RSVPs are required. 4122598542"
"Eulalia Press Presents: Edith Adams, Laura Cesarco Eglin & Lauren Shapiro (Triple Book Launch)",https://www.pghcitypaper.com/pittsburgh/eulalia-press-presents-edith-adams-laura-cesarco-eglin-and-lauren-shapiro-triple-book-launch/Event?oid=27587936,"Sun., March 9, 3-4 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Literary,"Don’t miss this exciting, triple book launch at City of Asylum, celebrating new works from local indie press Eulalia Books. The launch will feature the translators of the three works, Edith Adams (Guerrilla Blooms), Laura Cesarco Eglin (The Mistaken Place of Things), and Lauren Shapiro (Waking in the Sahara), who will discuss the art and process of translation. The poets behind these translated works—Gabriela Aguirre Sánchez, Daniela Catrileo, and Zaira Pacheco—will join the discussion virtually to share their poetry and participate in the audience Q&A. 412-435-1110"
Acoustic Daze at Kingfly!,https://www.pghcitypaper.com/pittsburgh/acoustic-daze-at-kingfly/Event?oid=27498006,"Sun., March 9, 4-7 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh
Strip District",Cover Band,"It’s Sunday FUNday and we’ve got just what the weekend ordered : Kingfly Spirits is proud to welcome ACOUSTIC DAZE to the Lounge! A ""feel good"" rock, folk, pop, soul, blues, and funk cover band. Over 300 songs ranging from bands like Fleetwood Mac, the Beatles, the Beach Boys, CCR, Carole King, and many more. A regular performer at Riley’s Pour House in Carnegie, we are bringing them to the Strip for an amazing afternoon of familiar favorites!"
Joel Harrison: Anthems of Unity,https://www.pghcitypaper.com/pittsburgh/joel-harrison-anthems-of-unity/Event?oid=27569117,"Sun., March 9, 5-8 p.m.",Con Alma Downtown,"613 Penn Avenue, Pittsburgh
Downtown",Jazz,"Anthems of Unity feat. Joel Harrison - guitar Gary Versace - Organ Jamey Haddad - drums Brooklyn-based guitarist, composer, arranger, lyricist, writer, educator, and vocalist Joel Harrison has “created a new blueprint for jazz” (New Orleans Times-Picayune). His trio features storied performers who have worked with John Scofield, Paul Simon, Dave Liebman and more. 4129322387"
